Time,AX,AY,AZ,GX,GY,GZ,Temp,,,,,spped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1801,0.9,8.93,-3.29,14.32,-52.96,11.31,18.18,,,32,,0.29,12.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,0.08,9.55,-2.85,13.1,-36.93,9.69,18.18,,,33,,0.29,12.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1866,0.15,9.37,-2.95,12.69,9.18,8.41,18.18,,,32,,0.32,13.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1898,0.7,9.3,-2.7,11.74,17.98,8.31,18.2,,,35,,0.30,13.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1933,0.83,9.28,-2.89,10.81,9.51,9.69,18.19,,,33,,0.33,13.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,1.36,9.53,-3.08,9.07,8.96,8.52,18.19,,,32,,0.31,14.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,0.42,9.26,-3.38,7.56,31.07,8.47,18.2,,,32,,0.30,14.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2030,0.92,9.19,-3.33,5.74,34.02,8.73,18.19,,,33,,0.30,14.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2063,0.8,9.65,-3.36,4.92,26.75,8.38,18.2,,,32,,0.30,15.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2095,2.24,9.14,-3.46,5.08,19.5,7.05,18.2,,,32,,0.31,15.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2127,2.52,9.16,-3.72,4.61,-33.53,4.64,18.19,,,32,,0.29,15.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2159,1.44,9.25,-3.88,4.18,-36.05,1.63,18.21,,,33,,0.29,15.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2192,0.64,9.22,-4.52,3.4,-19.8,-0.12,18.2,,,32,,0.31,16.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2224,0.45,9.4,-3.65,2.43,0.92,-1.31,18.21,,,32,,0.30,16.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2256,1.38,9.21,-3.31,1.98,4.09,-1.31,18.21,,,36,,0.30,16.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2292,1.41,9.41,-3.61,0.46,-43.31,-1.19,18.21,,,32,,0.33,17.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2324,0.51,9.3,-3.81,-0.67,-22.99,-1.88,18.23,,,32,,0.30,17.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2356,1.19,8.36,-3.76,-2.76,-29.85,-0.2,18.22,,,32,,0.30,17.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2388,0.68,9.16,-3.6,-3.83,-11.82,0.18,18.21,,,33,,0.27,18.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2421,1.37,8.88,-3.98,-6.17,10.44,0.37,18.22,,,32,,0.30,18.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2453,1.1,8.86,-4.08,-11.4,-20.23,2.4,18.21,,,32,,0.28,18.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2485,1.03,9.61,-3.16,-13.92,-29.79,4.58,18.22,,,33,,0.28,18.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518,0.27,9.5,-2.59,-12.69,-1.28,5.91,18.23,,,32,,0.32,19.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2550,1.63,9.11,-3.06,-12.2,24.78,6.31,18.22,,,32,,0.30,19.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2582,1.27,9.78,-2.4,-13.42,-39.25,8.38,18.23,,,32,,0.29,19.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
