Time,AX,AY,AZ,GX,GY,GZ,Temp,,,,,spped,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21254,-0.03,-0.23,-11.31,-1.24,-0.95,1.3,18.44,,,35,,-0.01353,60.2376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21289,-0.22,-0.17,-11.26,-1.15,1.86,1.15,18.46,,,33,,-0.00805,60.22955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21322,-0.06,-0.41,-11.29,-0.98,3.91,1.08,18.46,,,32,,-0.00561,60.22394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21354,0.01,-0.29,-11.2,-1.02,3.83,1.13,18.46,,,32,,-0.01312,60.21082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21386,-0.05,-0.24,-11.21,-1.22,3.82,1.13,18.46,,,33,,-0.00928,60.20154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21419,0.05,-0.27,-11.31,-1.1,4.73,1.08,18.48,,,32,,-0.00792,60.19362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21451,0.06,-0.41,-11.25,-1.1,0.41,1.21,18.45,,,32,,-0.00864,60.18498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21483,0,-0.23,-11.24,-1.3,1.1,1.21,18.46,,,33,,-0.01312,60.17186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21516,-0.13,-0.33,-11.21,-1.42,1.82,1.21,18.46,,,32,,-0.00759,60.16427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21548,0.02,-0.17,-11.27,-1.53,5.74,1.01,18.45,,,32,,-0.01056,60.15371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21580,0.02,-0.43,-11.27,-1.51,5.44,1.08,18.46,,,33,,-0.00544,60.14827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21613,-0.02,-0.31,-11.28,-1.45,7.48,1.02,18.45,,,35,,-0.01419,60.13408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21648,0.14,-0.13,-11.27,-1.44,9.22,0.99,18.46,,,33,,-0.01085,60.12323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21681,0.35,-0.4,-11.33,-1.36,4.09,1.07,18.46,,,32,,-0.00429,60.11894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21713,0.22,-0.29,-11.29,-1.36,-1.33,1.31,18.48,,,32,,-0.0128,60.10614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21745,-0.03,-0.27,-11.21,-1.42,-0.47,1.24,18.47,,,33,,-0.00928,60.09686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21778,-0.05,-0.34,-11.21,-1.5,2.73,1.15,18.46,,,32,,-0.00891,60.08795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21810,0.14,-0.3,-11.26,-1.66,5.27,1.02,18.46,,,32,,-0.01088,60.07707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21842,0.12,-0.37,-11.31,-1.54,3.94,1.08,18.47,,,33,,-0.0096,60.06747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21875,0.2,-0.18,-11.32,-1.4,3.97,1.11,18.48,,,32,,-0.01221,60.05526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21907,0.17,-0.34,-11.26,-1.31,3.83,1.11,18.48,,,33,,-0.00576,60.0495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21940,0.18,-0.35,-11.19,-1.31,1.69,1.13,18.47,,,35,,-0.01122,60.03828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21975,0.09,-0.2,-11.23,-1.53,1.95,1.11,18.46,,,32,,-0.01225,60.02603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22007,0.24,-0.4,-11.29,-1.47,2.67,1.11,18.48,,,33,,-0.0064,60.01963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22040,0.07,-0.23,-11.24,-1.47,4.06,1.11,18.46,,,32,,-0.0132,60.00643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22072,0.15,-0.3,-11.29,-1.62,7.22,1.01,18.45,,,32,,-0.00736,59.99907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22104,0.31,-0.28,-11.34,-1.45,6.26,0.99,18.46,,,32,,-0.0096,59.98947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22136,0.33,-0.32,-11.31,-1.25,4.14,1.15,18.46,,,33,,-0.00896,59.98051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22169,0.4,-0.23,-11.29,-1.3,1.02,1.22,18.47,,,32,,-0.01056,59.96995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22201,0.26,-0.28,-11.28,-1.37,-1.53,1.27,18.47,,,32,,-0.00736,59.96259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22233,0.09,-0.31,-11.28,-1.39,1.77,1.16,18.47,,,32,,-0.00896,59.95363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22265,0.19,-0.26,-11.32,-1.28,5.04,1.07,18.48,,,47,,-0.00992,59.94371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22312,0.34,-0.31,-11.25,-1.25,2.31,1.13,18.46,,,34,,-0.01222,59.93149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22346,0.36,-0.26,-11.27,-1.3,2.31,1.16,18.48,,,34,,-0.01054,59.92095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22380,0.41,-0.25,-11.25,-1.28,0.75,1.19,18.46,,,35,,-0.00884,59.91211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22415,0.32,-0.35,-11.31,-1.34,-3.01,1.27,18.47,,,34,,-0.00875,59.90336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22449,0.17,-0.18,-11.3,-1.25,-1.66,1.28,18.46,,,35,,-0.0119,59.89146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22484,0.14,-0.33,-11.29,-1.16,0.05,1.21,18.48,,,34,,-0.0063,59.88516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22518,0.27,-0.27,-11.23,-1.3,0.78,1.21,18.45,,,34,,-0.01122,59.87394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22552,0.22,-0.23,-11.27,-1.45,-0.05,1.19,18.49,,,35,,-0.00918,59.86476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22587,0.16,-0.27,-11.33,-1.25,1.92,1.16,18.46,,,34,,-0.00805,59.85671,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22621,0.27,-0.32,-11.28,-1.13,1.22,1.18,18.44,,,34,,-0.00918,59.84753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22655,0.29,-0.32,-11.31,-1.08,-1.39,1.25,18.44,,,38,,-0.01088,59.83665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22693,0.09,-0.21,-11.17,-1.31,-2.66,1.31,18.47,,,35,,-0.01216,59.82449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22728,0.03,-0.3,-11.31,-1.34,2.43,1.15,18.46,,,34,,-0.00735,59.81714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22762,0.16,-0.28,-11.28,-1.21,3.47,1.11,18.45,,,35,,-0.0102,59.80694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22797,0.24,-0.29,-11.27,-1.25,2.67,1.19,18.44,,,34,,-0.0098,59.79714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22831,0.29,-0.32,-11.3,-1.18,0.61,1.22,18.46,,,35,,-0.00986,59.78728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22866,0.33,-0.3,-11.29,-1.19,-4.67,1.31,18.46,,,34,,-0.0112,59.77608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22900,0.01,-0.24,-11.23,-1.34,-5.68,1.33,18.48,,,35,,-0.0102,59.76588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22935,-0.17,-0.28,-11.31,-1.22,0.43,1.22,18.46,,,34,,-0.0084,59.75748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22969,0.02,-0.36,-11.3,-0.96,5.71,1.07,18.46,,,34,,-0.00952,59.74796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23003,0.31,-0.22,-11.26,-1.24,3.28,1.11,18.46,,,38,,-0.01224,59.73572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23041,0.22,-0.26,-11.26,-1.39,-2.82,1.31,18.48,,,35,,-0.00836,59.72736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23076,0.06,-0.34,-11.26,-1.53,-4.47,1.34,18.47,,,34,,-0.0091,59.71826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23110,-0.1,-0.3,-11.35,-1.22,-2.05,1.25,18.46,,,35,,-0.01156,59.7067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23145,0.08,-0.18,-11.22,-1.11,2.03,1.19,18.47,,,34,,-0.0105,59.6962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23179,-0.02,-0.34,-11.26,-1.22,1.54,1.13,18.45,,,35,,-0.00612,59.69008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23214,0.08,-0.33,-11.26,-1.18,2.89,1.13,18.46,,,34,,-0.0119,59.67818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23248,0.17,-0.21,-11.25,-1.36,-0.73,1.24,18.46,,,35,,-0.01122,59.66696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23283,-0.05,-0.4,-11.33,-1.42,-0.32,1.28,18.47,,,34,,-0.00735,59.65961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23317,-0.01,-0.27,-11.3,-1.16,2.05,1.18,18.47,,,35,,-0.0136,59.64601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23352,0.03,-0.24,-11.29,-1.08,3.74,1.11,18.46,,,37,,-0.00945,59.63656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23389,0.11,-0.32,-11.23,-1.18,2.96,1.16,18.46,,,35,,-0.00888,59.62768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23424,0.15,-0.28,-11.26,-1.28,2.26,1.16,18.48,,,34,,-0.0112,59.61648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23458,0.08,-0.25,-11.29,-1.47,0.58,1.18,18.46,,,35,,-0.00952,59.60696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23493,-0.04,-0.29,-11.25,-1.31,2.46,1.11,18.47,,,34,,-0.00875,59.59821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23527,0.07,-0.34,-11.29,-1.3,4.02,1.07,18.47,,,35,,-0.00986,59.58835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23562,0.23,-0.25,-11.25,-1.34,1.24,1.19,18.46,,,34,,-0.0119,59.57645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23596,0.07,-0.32,-11.28,-1.37,-1.25,1.31,18.48,,,35,,-0.0085,59.56795,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23631,-0.02,-0.33,-11.28,-1.4,0.4,1.21,18.47,,,34,,-0.0112,59.55675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23665,0.1,-0.28,-11.31,-1.33,0.4,1.21,18.48,,,35,,-0.01122,59.54553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23700,-0.03,-0.28,-11.3,-1.28,2,1.21,18.46,,,34,,-0.0098,59.53573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23734,0.07,-0.26,-11.3,-1.16,3.63,1.15,18.47,,,38,,-0.00952,59.52621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23772,0.29,-0.24,-11.3,-1.18,3.02,1.08,18.47,,,34,,-0.00988,59.51633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23806,0.11,-0.27,-11.26,-1.24,-1.48,1.22,18.46,,,35,,-0.00816,59.50817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23841,-0.11,-0.28,-11.29,-1.22,1.69,1.15,18.45,,,34,,-0.00945,59.49872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23875,0.01,-0.27,-11.26,-1.13,5.3,1.07,18.46,,,35,,-0.00952,59.4892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23910,0.13,-0.28,-11.26,-1.25,4.32,1.1,18.46,,,34,,-0.00945,59.47975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23944,0.11,-0.31,-11.29,-1.18,4.34,1.1,18.47,,,35,,-0.00952,59.47023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23979,0.23,-0.26,-11.22,-1.18,2.49,1.11,18.46,,,34,,-0.01085,59.45938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24013,0.12,-0.3,-11.26,-1.39,-0.46,1.25,18.48,,,35,,-0.00884,59.45054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24048,0,-0.3,-11.3,-1.37,0.64,1.22,18.45,,,34,,-0.0105,59.44004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24082,0.08,-0.27,-11.25,-1.22,3.57,1.07,18.47,,,38,,-0.0102,59.42984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24120,0.22,-0.33,-11.26,-1.31,2.21,1.15,18.47,,,35,,-0.01026,59.41958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24155,0.07,-0.29,-11.3,-1.27,0.37,1.18,18.46,,,34,,-0.01155,59.40803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24189,0.08,-0.24,-11.29,-1.25,2.06,1.16,18.46,,,42,,-0.00986,59.39817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24231,0.07,-0.36,-11.28,-1.24,3.8,1.08,18.47,,,35,,-0.01008,59.38809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24266,0.18,-0.27,-11.23,-1.25,4.69,1.1,18.46,,,34,,-0.0126,59.37549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24300,0.24,-0.29,-11.26,-1.33,2.52,1.15,18.46,,,35,,-0.00918,59.36631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24335,0.19,-0.33,-11.33,-1.34,-0.2,1.27,18.46,,,34,,-0.01015,59.35616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24369,0.1,-0.25,-11.28,-1.27,0.46,1.22,18.48,,,35,,-0.01122,59.34494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24404,0.08,-0.23,-11.28,-1.33,2.24,1.19,18.48,,,34,,-0.00875,59.33619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24438,0.13,-0.34,-11.31,-1.15,4.06,1.13,18.47,,,35,,-0.00782,59.32837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24473,0.3,-0.26,-11.22,-1.4,1.77,1.16,18.47,,,37,,-0.0119,59.31647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24510,0.11,-0.31,-11.31,-1.44,-1.54,1.27,18.48,,,35,,-0.00962,59.30685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24545,0.17,-0.26,-11.29,-1.28,-1.51,1.27,18.48,,,34,,-0.01085,59.296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24579,0.05,-0.3,-11.24,-1.28,-0.98,1.21,18.48,,,35,,-0.00884,59.28716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24614,0.2,-0.28,-11.28,-1.4,-2.7,1.28,18.46,,,34,,-0.0105,59.27666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24648,-0.13,-0.31,-11.23,-1.56,-0.08,1.24,18.48,,,35,,-0.00952,59.26714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24683,0.04,-0.28,-11.31,-1.5,2.7,1.16,18.47,,,34,,-0.01085,59.25629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24717,0.05,-0.32,-11.29,-1.21,3.82,1.07,18.48,,,35,,-0.00952,59.24677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24752,0.17,-0.26,-11.27,-1.3,3.57,1.15,18.47,,,34,,-0.0112,59.23557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24786,0.12,-0.27,-11.31,-1.21,2.06,1.16,18.49,,,35,,-0.00884,59.22673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24821,0.21,-0.3,-11.23,-1.33,-1.66,1.28,18.49,,,37,,-0.00945,59.21728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24858,-0.07,-0.27,-11.26,-1.25,-0.47,1.22,18.47,,,35,,-0.0111,59.20618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24893,0.15,-0.27,-11.25,-1.28,1.02,1.19,18.49,,,34,,-0.00945,59.19673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24927,0.05,-0.27,-11.23,-1.44,-0.49,1.21,18.49,,,35,,-0.00918,59.18755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24962,0.01,-0.31,-11.32,-1.39,1.6,1.16,18.48,,,61,,-0.00945,59.1781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25023,0.04,-0.29,-11.24,-1.24,-1.3,1.27,18.48,,,34,,-0.01891,59.15919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25057,-0.1,-0.28,-11.28,-1.21,2.21,1.15,18.46,,,35,,-0.00986,59.14933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25092,-0.01,-0.28,-11.19,-1.28,5.66,1.04,18.47,,,34,,-0.0098,59.13953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25126,0.23,-0.27,-11.27,-1.37,3.51,1.11,18.49,,,35,,-0.00952,59.13001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25161,0.05,-0.35,-11.29,-1.34,1.89,1.18,18.47,,,34,,-0.00945,59.12056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25195,0,-0.25,-11.27,-1.31,3.83,1.1,18.46,,,38,,-0.0119,59.10866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25233,0.17,-0.3,-11.33,-1.25,4.52,1.07,18.47,,,35,,-0.0095,59.09916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25268,0.13,-0.28,-11.26,-1.16,2.95,1.13,18.47,,,34,,-0.0105,59.08866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25302,0.13,-0.3,-11.27,-1.27,2.47,1.16,18.46,,,35,,-0.00952,59.07914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25337,0.1,-0.29,-11.27,-1.28,2.92,1.16,18.47,,,34,,-0.0105,59.06864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25371,0.2,-0.28,-11.32,-1.22,2.17,1.16,18.49,,,35,,-0.00986,59.05878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25406,0.07,-0.31,-11.25,-1.25,2.34,1.16,18.49,,,34,,-0.0098,59.04898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25440,0.12,-0.29,-11.23,-1.18,3.3,1.1,18.49,,,35,,-0.01054,59.03844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25475,0.15,-0.27,-11.25,-1.22,4.23,1.1,18.46,,,34,,-0.01015,59.02829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25509,0.22,-0.27,-11.26,-1.36,3.33,1.15,18.49,,,35,,-0.00918,59.01911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25544,0.26,-0.31,-11.33,-1.21,0.9,1.21,18.48,,,34,,-0.00945,59.00966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25578,0.11,-0.28,-11.21,-1.19,-0.06,1.18,18.49,,,38,,-0.01054,58.99912,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25616,0.13,-0.27,-11.28,-1.53,1.27,1.18,18.47,,,34,,-0.01064,58.98848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25650,0.22,-0.29,-11.31,-1.3,0.21,1.22,18.48,,,35,,-0.00918,58.9793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25685,0.03,-0.26,-11.26,-1.36,1.07,1.18,18.48,,,34,,-0.01015,58.96915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25719,0.12,-0.29,-11.29,-1.27,2.35,1.15,18.47,,,35,,-0.00884,58.96031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25754,0.24,-0.3,-11.23,-1.39,2.32,1.15,18.48,,,34,,-0.01015,58.95016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25788,0.17,-0.3,-11.27,-1.68,-1.44,1.22,18.49,,,35,,-0.0102,58.93996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25823,0.12,-0.26,-11.29,-1.57,-2.29,1.21,18.48,,,34,,-0.0105,58.92946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25857,-0.08,-0.29,-11.26,-1.34,1.15,1.21,18.47,,,35,,-0.00884,58.92062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25892,0.21,-0.3,-11.3,-1.34,2.63,1.13,18.49,,,34,,-0.01015,58.91047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25926,0.1,-0.29,-11.29,-1.24,1.51,1.22,18.47,,,38,,-0.0102,58.90027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25964,0.23,-0.24,-11.31,-0.99,1.69,1.21,18.49,,,35,,-0.01102,58.88925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25999,0.08,-0.27,-11.22,-1.1,-1.3,1.24,18.48,,,34,,-0.0084,58.88085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26033,0.12,-0.28,-11.24,-1.11,0.05,1.25,18.49,,,35,,-0.00918,58.87167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26068,0.14,-0.26,-11.24,-1.31,-0.78,1.22,18.49,,,34,,-0.0098,58.86187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26102,0.04,-0.37,-11.3,-1.22,-0.84,1.24,18.5,,,35,,-0.00884,58.85303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26137,0.09,-0.3,-11.25,-1.18,-1.07,1.21,18.49,,,34,,-0.01295,58.84008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26171,0.05,-0.24,-11.28,-1.13,-1.13,1.25,18.49,,,35,,-0.0102,58.82988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26206,0.07,-0.22,-11.23,-1.07,-1.88,1.24,18.48,,,34,,-0.0084,58.82148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26240,-0.01,-0.33,-11.25,-1.22,-0.96,1.21,18.49,,,35,,-0.00748,58.814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26275,-0.1,-0.32,-11.27,-1.19,1.48,1.18,18.48,,,38,,-0.01155,58.80245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26313,0.11,-0.25,-11.31,-1.13,1.94,1.16,18.49,,,34,,-0.01216,58.79029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26347,0.04,-0.29,-11.23,-1.02,0.41,1.22,18.49,,,35,,-0.0085,58.78179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26382,0.06,-0.31,-11.25,-1.16,-2.05,1.28,18.48,,,34,,-0.01015,58.77164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26416,-0.12,-0.22,-11.24,-1.25,-0.53,1.22,18.47,,,35,,-0.01054,58.7611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26451,-0.09,-0.28,-11.22,-1.21,2.17,1.11,18.49,,,34,,-0.0077,58.7534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26485,-0.04,-0.34,-11.2,-1.27,2.9,1.15,18.47,,,35,,-0.00952,58.74388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26520,0.13,-0.24,-11.23,-1.36,1.98,1.18,18.48,,,34,,-0.0119,58.73198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26554,-0.1,-0.25,-11.28,-1.27,1.57,1.21,18.48,,,35,,-0.00816,58.72382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26589,0.04,-0.36,-11.31,-1.05,1.65,1.18,18.49,,,34,,-0.00875,58.71507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26623,0,-0.24,-11.18,-1.01,2.99,1.11,18.5,,,35,,-0.01224,58.70283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26658,-0.07,-0.33,-11.26,-1.18,4.61,1.1,18.49,,,37,,-0.0084,58.69443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26695,0.02,-0.29,-11.26,-1.01,4.75,1.08,18.5,,,35,,-0.01221,58.68222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26730,0.19,-0.18,-11.25,-1.22,2.6,1.18,18.51,,,34,,-0.01015,58.67207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26764,0,-0.49,-11.31,-1.22,1.05,1.21,18.5,,,35,,-0.00612,58.66595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26799,0.01,-0.15,-11.26,-1.13,2.05,1.18,18.49,,,35,,-0.01715,58.6488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26834,0.05,-0.21,-11.26,-1.15,3.16,1.19,18.5,,,34,,-0.00525,58.64355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26868,0.17,-0.41,-11.26,-1.21,2.61,1.1,18.49,,,35,,-0.00714,58.63641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26903,0.06,-0.28,-11.26,-1.18,-0.27,1.21,18.47,,,34,,-0.01435,58.62206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26937,0.06,-0.2,-11.26,-1.31,0.6,1.21,18.5,,,35,,-0.00952,58.61254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26972,0.05,-0.38,-11.29,-1.24,-0.64,1.24,18.49,,,34,,-0.007,58.60554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27006,0.04,-0.3,-11.25,-1.18,-0.37,1.22,18.48,,,38,,-0.01292,58.59262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
