Time (s);VX
0.4051;-3734
0.4052;-3769
0.4053;-3802
0.4054;-3833
0.4055;-3859
0.4056;-3877
0.4057;-3877
0.4058;-3878
0.4059;-3878
0.4060;-3892
0.4061;-3908
0.4062;-3921
0.4063;-3924
0.4064;-3916
0.4065;-3898
0.4066;-3872
0.4067;-3841
0.4068;-3802
0.4069;-3762
0.4070;-3722
0.4071;-3686
0.4072;-3658
0.4073;-3640
0.4074;-3632
0.4075;-3629
0.4076;-3631
0.4077;-3628
0.4078;-3622
0.4079;-3613
0.4080;-3593
0.4081;-3570
0.4082;-3546
0.4083;-3520
0.4084;-3497
0.4085;-3479
0.4086;-3462
0.4087;-3451
0.4088;-3442
0.4089;-3435
0.4090;-3429
0.4091;-3424
0.4092;-3416
0.4093;-3409
0.4094;-3400
0.4095;-3390
0.4096;-3379
0.4097;-3369
0.4098;-3361
0.4099;-3356
0.4100;-3356
0.4101;-3365
0.4102;-3374
0.4103;-3379
0.4104;-3378
0.4105;-3371
0.4106;-3366
0.4107;-3361
0.4108;-3361
0.4109;-3361
0.4110;-3363
0.4111;-3368
0.4112;-3373
0.4113;-3381
0.4114;-3391
0.4115;-3402
0.4116;-3417
0.4117;-3431
0.4118;-3444
0.4119;-3461
0.4120;-3481
0.4121;-3504
0.4122;-3527
0.4123;-3549
0.4124;-3568
0.4125;-3586
0.4126;-3603
0.4127;-3619
0.4128;-3635
0.4129;-3650
0.4130;-3665
0.4131;-3679
0.4132;-3692
0.4133;-3703
0.4134;-3713
0.4135;-3721
0.4136;-3727
0.4137;-3733
0.4138;-3737
0.4139;-3737
0.4140;-3738
0.4141;-3738
0.4142;-3737
0.4143;-3735
0.4144;-3733
0.4145;-3731
0.4146;-3729
0.4147;-3728
0.4148;-3726
0.4149;-3726
0.4150;-3725
0.4151;-3724
0.4152;-3724
0.4153;-3725
0.4154;-3727
0.4155;-3727
0.4156;-3727
0.4157;-3728
0.4158;-3726
0.4159;-3724
0.4160;-3724
0.4161;-3724
0.4162;-3723
0.4163;-3723
0.4164;-3723
0.4165;-3724
0.4166;-3726
0.4167;-3727
0.4168;-3728
0.4169;-3729
0.4170;-3731
0.4171;-3733
0.4172;-3733
0.4173;-3740
0.4174;-3748
0.4175;-3759
0.4176;-3773
0.4177;-3791
0.4178;-3814
0.4179;-3841
0.4180;-3874
0.4181;-3909
0.4182;-3947
0.4183;-3984
0.4184;-4018
0.4185;-4050
0.4186;-4083
0.4187;-4109
0.4188;-4128
0.4189;-4140
0.4190;-4140
0.4191;-4141
0.4192;-4141
0.4193;-4142
0.4194;-4141
0.4195;-4141
0.4196;-4141
0.4197;-4136
0.4198;-4123
0.4199;-4101
0.4200;-4071
0.4201;-4033
0.4202;-3993
0.4203;-3952
0.4204;-3915
0.4205;-3882
0.4206;-3860
0.4207;-3846
0.4208;-3838
0.4209;-3835
0.4210;-3830
0.4211;-3822
0.4212;-3813
0.4213;-3796
0.4214;-3774
0.4215;-3750
0.4216;-3724
0.4217;-3699
0.4218;-3677
0.4219;-3657
0.4220;-3641
0.4221;-3627
0.4222;-3615
0.4223;-3604
0.4224;-3594
0.4225;-3584
0.4226;-3574
0.4227;-3563
0.4228;-3552
0.4229;-3541
0.4230;-3533
0.4231;-3531
0.4232;-3532
0.4233;-3540
0.4234;-3549
0.4235;-3561
0.4236;-3574
0.4237;-3579
0.4238;-3580
0.4239;-3582
0.4240;-3591
0.4241;-3603
0.4242;-3611
0.4243;-3617
0.4244;-3623
0.4245;-3630
0.4246;-3637
0.4247;-3646
0.4248;-3656
0.4249;-3668
0.4250;-3681
0.4251;-3691
0.4252;-3697
0.4253;-3697
0.4254;-3697
0.4255;-3702
0.4256;-3707
0.4257;-3712
0.4258;-3717
0.4259;-3722
0.4260;-3727
0.4261;-3732
0.4262;-3738
0.4263;-3745
0.4264;-3750
0.4265;-3755
0.4266;-3755
0.4267;-3756
0.4268;-3757
0.4269;-3757
0.4270;-3762
0.4271;-3768
0.4272;-3774
0.4273;-3781
0.4274;-3789
0.4275;-3798
0.4276;-3808
0.4277;-3818
0.4278;-3828
0.4279;-3837
0.4280;-3845
0.4281;-3851
0.4282;-3855
0.4283;-3855
0.4284;-3857
0.4285;-3860
0.4286;-3861
0.4287;-3862
0.4288;-3862
0.4289;-3861
0.4290;-3861
0.4291;-3860
0.4292;-3859
0.4293;-3859
0.4294;-3859
0.4295;-3860
0.4296;-3861
0.4297;-3863
0.4298;-3865
0.4299;-3866
0.4300;-3867
0.4301;-3867
0.4302;-3869
0.4303;-3872
0.4304;-3875
0.4305;-3877
0.4306;-3880
0.4307;-3884
0.4308;-3890
0.4309;-3896
0.4310;-3901
0.4311;-3905
0.4312;-3905
0.4313;-3905
0.4314;-3906
0.4315;-3905
0.4316;-3905
0.4317;-3903
0.4318;-3902
0.4319;-3899
0.4320;-3896
0.4321;-3896
0.4322;-3893
0.4323;-3889
0.4324;-3889
0.4325;-3889
0.4326;-3890
0.4327;-3892
0.4328;-3892
0.4329;-3896
0.4330;-3901
0.4331;-3908
0.4332;-3915
0.4333;-3924
0.4334;-3932
0.4335;-3939
0.4336;-3944
0.4337;-3946
0.4338;-3947
0.4339;-3948
0.4340;-3951
0.4341;-3953
0.4342;-3956
0.4343;-3958
0.4344;-3958
0.4345;-3955
0.4346;-3950
0.4347;-3943
0.4348;-3934
0.4349;-3925
0.4350;-3917
0.4351;-3910
0.4352;-3905
0.4353;-3900
0.4354;-3896
0.4355;-3891
0.4356;-3887
0.4357;-3885
0.4358;-3887
0.4359;-3894
0.4360;-3904
0.4361;-3913
0.4362;-3921
0.4363;-3928
0.4364;-3933
0.4365;-3937
0.4366;-3937
0.4367;-3936
0.4368;-3932
0.4369;-3925
0.4370;-3917
0.4371;-3908
0.4372;-3898
0.4373;-3892
0.4374;-3889
0.4375;-3890
0.4376;-3894
0.4377;-3901
0.4378;-3909
0.4379;-3919
0.4380;-3931
0.4381;-3945
0.4382;-3958
0.4383;-3974
0.4384;-3991
0.4385;-4008
0.4386;-4029
0.4387;-4046
0.4388;-4059
0.4389;-4065
0.4390;-4066
0.4391;-4062
0.4392;-4055
0.4393;-4050
0.4394;-4045
0.4395;-4040
0.4396;-4036
0.4397;-4031
0.4398;-4031
0.4399;-4031
0.4400;-4034
0.4401;-4036
0.4402;-4037
0.4403;-4037
0.4404;-4036
0.4405;-4038
0.4406;-4042
0.4407;-4050
0.4408;-4058
0.4409;-4065
0.4410;-4070
0.4411;-4073
0.4412;-4076
0.4413;-4081
0.4414;-4086
0.4415;-4091
0.4416;-4096
0.4417;-4098
0.4418;-4099
0.4419;-4098
0.4420;-4097
0.4421;-4097
0.4422;-4099
0.4423;-4104
0.4424;-4108
0.4425;-4112
0.4426;-4117
0.4427;-4121
0.4428;-4125
0.4429;-4130
0.4430;-4135
0.4431;-4140
0.4432;-4144
0.4433;-4144
0.4434;-4145
0.4435;-4145
0.4436;-4145
0.4437;-4145
0.4438;-4145
0.4439;-4145
0.4440;-4144
0.4441;-4143
0.4442;-4142
0.4443;-4142
0.4444;-4143
0.4445;-4144
0.4446;-4144
0.4447;-4146
0.4448;-4150
0.4449;-4154
0.4450;-4159
0.4451;-4165
0.4452;-4170
0.4453;-4174
0.4454;-4177
0.4455;-4180
0.4456;-4183
0.4457;-4186
0.4458;-4189
0.4459;-4191
0.4460;-4193
0.4461;-4194
0.4462;-4196
0.4463;-4197
0.4464;-4199
0.4465;-4202
0.4466;-4204
0.4467;-4208
0.4468;-4211
0.4469;-4214
0.4470;-4217
0.4471;-4220
0.4472;-4224
0.4473;-4227
0.4474;-4230
0.4475;-4233
0.4476;-4235
0.4477;-4237
0.4478;-4239
0.4479;-4243
0.4480;-4249
0.4481;-4254
0.4482;-4259
0.4483;-4262
0.4484;-4265
0.4485;-4268
0.4486;-4271
0.4487;-4274
0.4488;-4276
0.4489;-4279
0.4490;-4283
0.4491;-4286
0.4492;-4290
0.4493;-4295
0.4494;-4299
0.4495;-4303
0.4496;-4307
0.4497;-4309
0.4498;-4309
0.4499;-4310
0.4500;-4310
0.4501;-4309
0.4502;-4308
0.4503;-4306
0.4504;-4304
0.4505;-4302
0.4506;-4302
0.4507;-4302
0.4508;-4303
0.4509;-4306
0.4510;-4310
0.4511;-4314
0.4512;-4319
0.4513;-4325
0.4514;-4333
0.4515;-4340
0.4516;-4348
0.4517;-4356
0.4518;-4363
0.4519;-4370
0.4520;-4376
0.4521;-4382
0.4522;-4387
0.4523;-4392
0.4524;-4395
0.4525;-4398
0.4526;-4401
0.4527;-4402
0.4528;-4404
0.4529;-4404
0.4530;-4404
0.4531;-4405
0.4532;-4405
0.4533;-4405
0.4534;-4407
0.4535;-4408
0.4536;-4411
0.4537;-4414
0.4538;-4417
0.4539;-4420
0.4540;-4423
0.4541;-4427
0.4542;-4432
0.4543;-4438
0.4544;-4445
0.4545;-4454
0.4546;-4463
0.4547;-4473
0.4548;-4486
0.4549;-4499
0.4550;-4516
0.4551;-4536
0.4552;-4560
0.4553;-4579
0.4554;-4592
0.4555;-4598
0.4556;-4598
0.4557;-4599
0.4558;-4599
0.4559;-4599
0.4560;-4600
0.4561;-4600
0.4562;-4600
0.4563;-4601
0.4564;-4601
0.4565;-4601
0.4566;-4602
0.4567;-4602
0.4568;-4602
0.4569;-4602
0.4570;-4603
0.4571;-4603
0.4572;-4603
0.4573;-4604
0.4574;-4604
0.4575;-4604
0.4576;-4604
0.4577;-4605
0.4578;-4605
0.4579;-4593
0.4580;-4575
0.4581;-4553
0.4582;-4531
0.4583;-4508
0.4584;-4489
0.4585;-4472
0.4586;-4458
0.4587;-4447
0.4588;-4441
0.4589;-4439
0.4590;-4440
0.4591;-4445
0.4592;-4452
0.4593;-4461
0.4594;-4470
0.4595;-4479
0.4596;-4487
0.4597;-4495
0.4598;-4502
0.4599;-4509
0.4600;-4517
0.4601;-4524
0.4602;-4529
0.4603;-4533
0.4604;-4535
0.4605;-4536
0.4606;-4536
0.4607;-4535
0.4608;-4535
0.4609;-4534
0.4610;-4532
0.4611;-4531
0.4612;-4529
0.4613;-4527
0.4614;-4527
0.4615;-4527
0.4616;-4527
0.4617;-4528
0.4618;-4529
0.4619;-4532
0.4620;-4536
0.4621;-4542
0.4622;-4549
0.4623;-4556
0.4624;-4564
0.4625;-4573
0.4626;-4583
0.4627;-4593
0.4628;-4603
0.4629;-4614
0.4630;-4624
0.4631;-4634
0.4632;-4645
0.4633;-4655
0.4634;-4668
0.4635;-4679
0.4636;-4684
0.4637;-4685
0.4638;-4680
0.4639;-4673
0.4640;-4668
0.4641;-4664
0.4642;-4664
0.4643;-4666
0.4644;-4666
0.4645;-4671
0.4646;-4677
0.4647;-4684
0.4648;-4693
0.4649;-4702
0.4650;-4712
0.4651;-4723
0.4652;-4732
0.4653;-4738
0.4654;-4738
0.4655;-4738
0.4656;-4738
0.4657;-4738
0.4658;-4738
0.4659;-4738
0.4660;-4738
0.4661;-4738
0.4662;-4738
0.4663;-4738
0.4664;-4738
0.4665;-4738
0.4666;-4738
0.4667;-4739
0.4668;-4739
0.4669;-4739
0.4670;-4750
0.4671;-4762
0.4672;-4774
0.4673;-4779
0.4674;-4777
0.4675;-4769
0.4676;-4755
0.4677;-4731
0.4678;-4698
0.4679;-4660
0.4680;-4619
0.4681;-4579
0.4682;-4542
0.4683;-4513
0.4684;-4492
0.4685;-4479
0.4686;-4471
0.4687;-4466
0.4688;-4461
0.4689;-4455
0.4690;-4448
0.4691;-4441
0.4692;-4433
0.4693;-4426
0.4694;-4419
0.4695;-4412
0.4696;-4409
0.4697;-4406
0.4698;-4409
0.4699;-4417
0.4700;-4425
0.4701;-4434
0.4702;-4443
0.4703;-4450
0.4704;-4457
0.4705;-4465
0.4706;-4472
0.4707;-4479
0.4708;-4486
0.4709;-4491
0.4710;-4496
0.4711;-4501
0.4712;-4504
0.4713;-4507
0.4714;-4509
0.4715;-4512
0.4716;-4515
0.4717;-4519
0.4718;-4523
0.4719;-4527
0.4720;-4529
0.4721;-4532
0.4722;-4534
0.4723;-4538
0.4724;-4547
0.4725;-4554
0.4726;-4559
0.4727;-4563
0.4728;-4569
0.4729;-4577
0.4730;-4590
0.4731;-4605
0.4732;-4619
0.4733;-4632
0.4734;-4646
0.4735;-4661
0.4736;-4677
0.4737;-4692
0.4738;-4706
0.4739;-4720
0.4740;-4734
0.4741;-4746
0.4742;-4760
0.4743;-4774
0.4744;-4791
0.4745;-4809
0.4746;-4825
0.4747;-4837
0.4748;-4837
0.4749;-4837
0.4750;-4837
0.4751;-4837
0.4752;-4837
0.4753;-4837
0.4754;-4838
0.4755;-4838
0.4756;-4838
0.4757;-4838
0.4758;-4838
0.4759;-4838
0.4760;-4838
0.4761;-4839
0.4762;-4839
0.4763;-4839
0.4764;-4839
0.4765;-4839
0.4766;-4839
0.4767;-4839
0.4768;-4839
0.4769;-4861
0.4770;-4890
0.4771;-4920
0.4772;-4940
0.4773;-4949
0.4774;-4948
0.4775;-4943
0.4776;-4931
0.4777;-4910
0.4778;-4880
0.4779;-4843
0.4780;-4803
0.4781;-4762
0.4782;-4724
0.4783;-4693
0.4784;-4669
0.4785;-4653
0.4786;-4641
0.4787;-4630
0.4788;-4616
0.4789;-4598
0.4790;-4575
0.4791;-4546
0.4792;-4513
0.4793;-4477
0.4794;-4439
0.4795;-4401
0.4796;-4363
0.4797;-4328
0.4798;-4296
0.4799;-4266
0.4800;-4238
0.4801;-4216
0.4802;-4205
0.4803;-4208
0.4804;-4218
0.4805;-4227
0.4806;-4234
0.4807;-4239
0.4808;-4249
0.4809;-4266
0.4810;-4286
0.4811;-4307
0.4812;-4328
0.4813;-4351
0.4814;-4375
0.4815;-4398
0.4816;-4420
0.4817;-4439
0.4818;-4456
0.4819;-4471
0.4820;-4483
0.4821;-4494
0.4822;-4502
0.4823;-4510
0.4824;-4517
0.4825;-4525
0.4826;-4536
0.4827;-4549
0.4828;-4564
0.4829;-4578
0.4830;-4591
0.4831;-4601
0.4832;-4610
0.4833;-4619
0.4834;-4628
0.4835;-4637
0.4836;-4645
0.4837;-4652
0.4838;-4658
0.4839;-4665
0.4840;-4675
0.4841;-4687
0.4842;-4701
0.4843;-4715
0.4844;-4729
0.4845;-4742
0.4846;-4755
0.4847;-4770
0.4848;-4788
0.4849;-4808
0.4850;-4830
0.4851;-4854
0.4852;-4881
0.4853;-4912
0.4854;-4939
0.4855;-4960
0.4856;-4971
0.4857;-4971
0.4858;-4971
0.4859;-4971
0.4860;-4971
0.4861;-4971
0.4862;-4972
0.4863;-4972
0.4864;-4972
0.4865;-4972
0.4866;-4972
0.4867;-4972
0.4868;-4972
0.4869;-4972
0.4870;-4972
0.4871;-4971
0.4872;-4967
0.4873;-4962
0.4874;-4954
0.4875;-4940
0.4876;-4918
0.4877;-4889
0.4878;-4852
0.4879;-4813
0.4880;-4774
0.4881;-4737
0.4882;-4707
0.4883;-4682
0.4884;-4663
0.4885;-4650
0.4886;-4640
0.4887;-4631
0.4888;-4625
0.4889;-4614
0.4890;-4602
0.4891;-4588
0.4892;-4570
0.4893;-4552
0.4894;-4534
0.4895;-4517
0.4896;-4503
0.4897;-4492
0.4898;-4482
0.4899;-4475
0.4900;-4468
0.4901;-4462
0.4902;-4456
0.4903;-4448
0.4904;-4440
0.4905;-4431
0.4906;-4421
0.4907;-4412
0.4908;-4402
0.4909;-4390
0.4910;-4376
0.4911;-4360
0.4912;-4344
0.4913;-4328
0.4914;-4316
0.4915;-4307
0.4916;-4301
0.4917;-4298
0.4918;-4296
0.4919;-4294
0.4920;-4296
0.4921;-4303
0.4922;-4315
0.4923;-4329
0.4924;-4346
0.4925;-4364
0.4926;-4384
0.4927;-4404
0.4928;-4424
0.4929;-4444
0.4930;-4464
0.4931;-4484
0.4932;-4505
0.4933;-4524
0.4934;-4542
0.4935;-4558
0.4936;-4572
0.4937;-4584
0.4938;-4596
0.4939;-4607
0.4940;-4616
0.4941;-4625
0.4942;-4631
0.4943;-4637
0.4944;-4642
0.4945;-4647
0.4946;-4651
0.4947;-4655
0.4948;-4655
0.4949;-4656
0.4950;-4655
0.4951;-4653
0.4952;-4650
0.4953;-4650
0.4954;-4646
0.4955;-4646
0.4956;-4646
0.4957;-4647
0.4958;-4647
0.4959;-4654
0.4960;-4662
0.4961;-4673
0.4962;-4686
0.4963;-4702
0.4964;-4721
0.4965;-4746
0.4966;-4777
0.4967;-4812
0.4968;-4851
0.4969;-4891
0.4970;-4930
0.4971;-4962
0.4972;-4985
0.4973;-4998
0.4974;-4998
0.4975;-4998
0.4976;-4998
0.4977;-4998
0.4978;-4998
0.4979;-4998
0.4980;-4998
0.4981;-4998
0.4982;-4999
0.4983;-4998
0.4984;-4995
0.4985;-4989
0.4986;-4978
0.4987;-4958
0.4988;-4931
0.4989;-4895
0.4990;-4854
0.4991;-4814
0.4992;-4774
0.4993;-4738
0.4994;-4711
0.4995;-4692
0.4996;-4680
0.4997;-4675
0.4998;-4671
0.4999;-4666
0.5000;-4663
0.5001;-4654
0.5002;-4641
0.5003;-4626
0.5004;-4607
0.5005;-4587
0.5006;-4567
0.5007;-4549
0.5008;-4533
0.5009;-4520
0.5010;-4507
0.5011;-4496
0.5012;-4485
0.5013;-4475
0.5014;-4466
0.5015;-4455
0.5016;-4445
0.5017;-4434
0.5018;-4426
0.5019;-4422
0.5020;-4420
0.5021;-4421
0.5022;-4422
0.5023;-4422
0.5024;-4421
0.5025;-4418
0.5026;-4413
0.5027;-4407
0.5028;-4403
0.5029;-4401
0.5030;-4402
0.5031;-4404
0.5032;-4404
0.5033;-4404
0.5034;-4411
0.5035;-4425
0.5036;-4440
0.5037;-4455
0.5038;-4466
0.5039;-4472
0.5040;-4479
0.5041;-4488
0.5042;-4499
0.5043;-4510
0.5044;-4520
0.5045;-4532
0.5046;-4546
0.5047;-4561
0.5048;-4577
0.5049;-4592
0.5050;-4605
0.5051;-4618
0.5052;-4629
0.5053;-4640
0.5054;-4650
0.5055;-4659
0.5056;-4667
0.5057;-4673
0.5058;-4679
0.5059;-4684
0.5060;-4689
0.5061;-4693
0.5062;-4698
0.5063;-4702
0.5064;-4707
0.5065;-4712
0.5066;-4717
0.5067;-4722
0.5068;-4726
0.5069;-4730
0.5070;-4734
0.5071;-4734
0.5072;-4736
0.5073;-4737
0.5074;-4737
0.5075;-4737
0.5076;-4736
0.5077;-4735
0.5078;-4733
0.5079;-4731
0.5080;-4729
0.5081;-4726
0.5082;-4722
0.5083;-4719
0.5084;-4716
0.5085;-4712
0.5086;-4710
0.5087;-4707
0.5088;-4706
0.5089;-4705
0.5090;-4706
0.5091;-4706
0.5092;-4712
0.5093;-4720
0.5094;-4730
0.5095;-4744
0.5096;-4760
0.5097;-4780
0.5098;-4803
0.5099;-4830
0.5100;-4861
0.5101;-4897
0.5102;-4934
0.5103;-4973
0.5104;-5011
0.5105;-5043
0.5106;-5064
0.5107;-5078
0.5108;-5081
0.5109;-5081
0.5110;-5081
0.5111;-5081
0.5112;-5082
0.5113;-5082
0.5114;-5082
0.5115;-5082
0.5116;-5082
0.5117;-5082
0.5118;-5083
0.5119;-5082
0.5120;-5079
0.5121;-5073
0.5122;-5062
0.5123;-5043
0.5124;-5015
0.5125;-4979
0.5126;-4939
0.5127;-4898
0.5128;-4858
0.5129;-4822
0.5130;-4792
0.5131;-4770
0.5132;-4754
0.5133;-4745
0.5134;-4739
0.5135;-4735
0.5136;-4733
0.5137;-4728
0.5138;-4721
0.5139;-4710
0.5140;-4697
0.5141;-4681
0.5142;-4664
0.5143;-4647
0.5144;-4631
0.5145;-4617
0.5146;-4604
0.5147;-4592
0.5148;-4582
0.5149;-4572
0.5150;-4563
0.5151;-4553
0.5152;-4544
0.5153;-4534
0.5154;-4525
0.5155;-4516
0.5156;-4507
0.5157;-4498
0.5158;-4488
0.5159;-4479
0.5160;-4470
0.5161;-4464
0.5162;-4464
0.5163;-4469
0.5164;-4474
0.5165;-4477
0.5166;-4477
0.5167;-4472
0.5168;-4466
0.5169;-4459
0.5170;-4454
0.5171;-4451
0.5172;-4449
0.5173;-4449
0.5174;-4447
0.5175;-4447
0.5176;-4447
0.5177;-4461
0.5178;-4478
0.5179;-4497
0.5180;-4513
0.5181;-4527
0.5182;-4543
0.5183;-4563
0.5184;-4586
0.5185;-4611
0.5186;-4634
0.5187;-4656
0.5188;-4676
0.5189;-4696
0.5190;-4715
0.5191;-4732
0.5192;-4747
0.5193;-4760
0.5194;-4771
0.5195;-4781
0.5196;-4790
0.5197;-4796
0.5198;-4801
0.5199;-4801
0.5200;-4802
0.5201;-4802
0.5202;-4802
0.5203;-4801
0.5204;-4800
0.5205;-4799
0.5206;-4797
0.5207;-4796
0.5208;-4794
0.5209;-4791
0.5210;-4788
0.5211;-4785
0.5212;-4781
0.5213;-4778
0.5214;-4775
0.5215;-4773
0.5216;-4771
0.5217;-4769
0.5218;-4768
0.5219;-4767
0.5220;-4767
0.5221;-4766
0.5222;-4765
0.5223;-4763
0.5224;-4760
0.5225;-4756
0.5226;-4753
0.5227;-4751
0.5228;-4750
0.5229;-4752
0.5230;-4752
0.5231;-4760
0.5232;-4771
0.5233;-4786
0.5234;-4805
0.5235;-4828
0.5236;-4855
0.5237;-4887
0.5238;-4922
0.5239;-4960
0.5240;-4997
0.5241;-5033
0.5242;-5067
0.5243;-5094
0.5244;-5112
0.5245;-5112
0.5246;-5112
0.5247;-5112
0.5248;-5112
0.5249;-5112
0.5250;-5112
0.5251;-5112
0.5252;-5113
0.5253;-5113
0.5254;-5113
0.5255;-5113
0.5256;-5111
0.5257;-5107
0.5258;-5102
0.5259;-5091
0.5260;-5071
0.5261;-5043
0.5262;-5006
0.5263;-4966
0.5264;-4925
0.5265;-4887
0.5266;-4855
0.5267;-4831
0.5268;-4817
0.5269;-4807
0.5270;-4804
0.5271;-4803
0.5272;-4799
0.5273;-4796
0.5274;-4789
0.5275;-4777
0.5276;-4765
0.5277;-4749
0.5278;-4731
0.5279;-4713
0.5280;-4695
0.5281;-4677
0.5282;-4662
0.5283;-4648
0.5284;-4635
0.5285;-4625
0.5286;-4615
0.5287;-4607
0.5288;-4595
0.5289;-4583
0.5290;-4571
0.5291;-4564
0.5292;-4563
0.5293;-4567
0.5294;-4571
0.5295;-4575
0.5296;-4576
0.5297;-4572
0.5298;-4565
0.5299;-4558
0.5300;-4552
0.5301;-4549
0.5302;-4547
0.5303;-4547
0.5304;-4547
0.5305;-4547
0.5306;-4553
0.5307;-4564
0.5308;-4577
0.5309;-4591
0.5310;-4605
0.5311;-4614
0.5312;-4621
0.5313;-4628
0.5314;-4637
0.5315;-4650
0.5316;-4666
0.5317;-4685
0.5318;-4705
0.5319;-4729
0.5320;-4755
0.5321;-4781
0.5322;-4806
0.5323;-4827
0.5324;-4846
0.5325;-4862
0.5326;-4875
0.5327;-4886
0.5328;-4893
0.5329;-4893
0.5330;-4894
0.5331;-4893
0.5332;-4891
0.5333;-4889
0.5334;-4886
0.5335;-4884
0.5336;-4882
0.5337;-4880
0.5338;-4879
0.5339;-4878
0.5340;-4877
0.5341;-4877
0.5342;-4878
0.5343;-4878
0.5344;-4879
0.5345;-4881
0.5346;-4882
0.5347;-4882
0.5348;-4883
0.5349;-4884
0.5350;-4884
0.5351;-4885
0.5352;-4885
0.5353;-4885
0.5354;-4884
0.5355;-4884
0.5356;-4884
0.5357;-4883
0.5358;-4883
0.5359;-4881
0.5360;-4879
0.5361;-4877
0.5362;-4875
0.5363;-4874
0.5364;-4874
0.5365;-4875
0.5366;-4877
0.5367;-4877
0.5368;-4884
0.5369;-4895
0.5370;-4908
0.5371;-4925
0.5372;-4945
0.5373;-4968
0.5374;-4993
0.5375;-5021
0.5376;-5050
0.5377;-5082
0.5378;-5115
0.5379;-5148
0.5380;-5180
0.5381;-5207
0.5382;-5225
0.5383;-5236
0.5384;-5236
0.5385;-5236
0.5386;-5236
0.5387;-5236
0.5388;-5236
0.5389;-5237
0.5390;-5237
0.5391;-5237
0.5392;-5237
0.5393;-5253
0.5394;-5268
0.5395;-5279
0.5396;-5277
0.5397;-5266
0.5398;-5252
0.5399;-5233
0.5400;-5207
0.5401;-5174
0.5402;-5136
0.5403;-5095
0.5404;-5054
0.5405;-5015
0.5406;-4983
0.5407;-4958
0.5408;-4940
0.5409;-4932
0.5410;-4927
0.5411;-4926
0.5412;-4927
0.5413;-4925
0.5414;-4919
0.5415;-4910
0.5416;-4896
0.5417;-4876
0.5418;-4855
0.5419;-4833
0.5420;-4810
0.5421;-4791
0.5422;-4774
0.5423;-4759
0.5424;-4748
0.5425;-4738
0.5426;-4728
0.5427;-4721
0.5428;-4712
0.5429;-4703
0.5430;-4692
0.5431;-4681
0.5432;-4673
0.5433;-4667
0.5434;-4665
0.5435;-4667
0.5436;-4670
0.5437;-4670
0.5438;-4665
0.5439;-4658
0.5440;-4652
0.5441;-4647
0.5442;-4643
0.5443;-4643
0.5444;-4642
0.5445;-4642
0.5446;-4643
0.5447;-4643
0.5448;-4648
0.5449;-4656
0.5450;-4665
0.5451;-4676
0.5452;-4687
0.5453;-4700
0.5454;-4715
0.5455;-4732
0.5456;-4751
0.5457;-4769
0.5458;-4786
0.5459;-4803
0.5460;-4819
0.5461;-4835
0.5462;-4851
0.5463;-4866
0.5464;-4880
0.5465;-4894
0.5466;-4906
0.5467;-4918
0.5468;-4928
0.5469;-4938
0.5470;-4948
0.5471;-4958
0.5472;-4967
0.5473;-4976
0.5474;-4983
0.5475;-4991
0.5476;-4997
0.5477;-5004
0.5478;-5009
0.5479;-5014
0.5480;-5018
0.5481;-5022
0.5482;-5025
0.5483;-5028
0.5484;-5031
0.5485;-5034
0.5486;-5034
0.5487;-5034
0.5488;-5033
0.5489;-5031
0.5490;-5028
0.5491;-5028
0.5492;-5024
0.5493;-5019
0.5494;-5015
0.5495;-5009
0.5496;-5004
0.5497;-4999
0.5498;-4994
0.5499;-4991
0.5500;-4991
0.5501;-4990
0.5502;-4990
0.5503;-4991
0.5504;-4993
0.5505;-4993
0.5506;-4999
0.5507;-5008
0.5508;-5018
0.5509;-5030
0.5510;-5044
0.5511;-5062
0.5512;-5082
0.5513;-5106
0.5514;-5132
0.5515;-5162
0.5516;-5193
0.5517;-5224
0.5518;-5255
0.5519;-5286
0.5520;-5316
0.5521;-5337
0.5522;-5352
0.5523;-5352
0.5524;-5352
0.5525;-5353
0.5526;-5353
0.5527;-5354
0.5528;-5354
0.5529;-5354
0.5530;-5355
0.5531;-5355
0.5532;-5355
0.5533;-5353
0.5534;-5350
0.5535;-5343
0.5536;-5329
0.5537;-5307
0.5538;-5276
0.5539;-5238
0.5540;-5198
0.5541;-5158
0.5542;-5122
0.5543;-5092
0.5544;-5073
0.5545;-5061
0.5546;-5054
0.5547;-5052
0.5548;-5049
0.5549;-5046
0.5550;-5042
0.5551;-5031
0.5552;-5017
0.5553;-4999
0.5554;-4977
0.5555;-4955
0.5556;-4934
0.5557;-4914
0.5558;-4899
0.5559;-4885
0.5560;-4874
0.5561;-4865
0.5562;-4856
0.5563;-4847
0.5564;-4837
0.5565;-4824
0.5566;-4810
0.5567;-4799
0.5568;-4789
0.5569;-4782
0.5570;-4780
0.5571;-4777
0.5572;-4777
0.5573;-4780
0.5574;-4783
0.5575;-4788
0.5576;-4793
0.5577;-4793
0.5578;-4787
0.5579;-4781
0.5580;-4776
0.5581;-4772
0.5582;-4768
0.5583;-4765
0.5584;-4765
0.5585;-4765
0.5586;-4770
0.5587;-4775
0.5588;-4784
0.5589;-4795
0.5590;-4808
0.5591;-4824
0.5592;-4839
0.5593;-4855
0.5594;-4870
0.5595;-4886
0.5596;-4902
0.5597;-4919
0.5598;-4936
0.5599;-4953
0.5600;-4969
0.5601;-4985
0.5602;-5002
0.5603;-5018
0.5604;-5032
